record_id,learner,val_log_loss,val_f1,val_accuracy,val_precision,val_recall,val_auc,pred_time,config
0,lgbm,0.4609437990635801,0.9334845427983686,0.9336189966077486,0.9362988224047022,0.9336189966077486,0.9679476380881871,5.728005298736414e-07,"{'n_estimators': 4, 'num_leaves': 4, 'min_child_samples': 20, 'learning_rate': 0.09999999999999995, 'log_max_bin': 8, 'colsample_bytree': 1.0, 'reg_alpha': 0.0009765625, 'reg_lambda': 1.0}"
1,lgbm,0.5882654663159504,0.9324279331705454,0.932654883056597,0.9374066774494236,0.932654883056597,0.9655500718460638,5.743193256069647e-07,"{'n_estimators': 4, 'num_leaves': 4, 'min_child_samples': 33, 'learning_rate': 0.03735454900037746, 'log_max_bin': 9, 'colsample_bytree': 0.8085131463835397, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.692397057684401}"
2,lgbm,0.2759697075586445,0.9415270677459313,0.9415390108909123,0.9416913533486743,0.9415390108909123,0.9781418266283642,5.792281687674704e-07,"{'n_estimators': 4, 'num_leaves': 4, 'min_child_samples': 12, 'learning_rate': 0.26770501231052046, 'log_max_bin': 7, 'colsample_bytree': 1.0, 'reg_alpha': 0.001348364934537134, 'reg_lambda': 1.4442580148221913}"
3,xgboost,0.45851975479258633,0.9383249527046379,0.9383324406356008,0.9384015462552506,0.9383324406356008,0.9710231154611746,3.168936649234651e-07,"{'n_estimators': 4, 'max_leaves': 4, 'min_child_weight': 0.9999999999999993, 'learning_rate': 0.09999999999999995, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.0009765625, 'reg_lambda': 1.0}"
4,lgbm,0.09223642695013279,0.9653025047769526,0.9653061953222639,0.9653699932924351,0.9653061953222639,0.9949498269080497,4.1826987475119537e-07,"{'n_estimators': 12, 'num_leaves': 4, 'min_child_samples': 9, 'learning_rate': 0.7260594590615893, 'log_max_bin': 9, 'colsample_bytree': 0.9285002286474459, 'reg_alpha': 0.0036840681931986645, 'reg_lambda': 0.7532480505730402}"
5,lgbm,0.27596970755864464,0.9415270677459313,0.9415390108909123,0.9416913533486743,0.9415390108909123,0.9781418266283642,3.655819653655946e-07,"{'n_estimators': 4, 'num_leaves': 4, 'min_child_samples': 12, 'learning_rate': 0.2677050123105201, 'log_max_bin': 7, 'colsample_bytree': 1.0, 'reg_alpha': 0.0013483649345371336, 'reg_lambda': 1.444258014822189}"
6,lgbm,0.0843248491334246,0.965442477242394,0.9654490269594715,0.9655989322507256,0.9654490269594715,0.9958517137307568,4.39524501588723e-07,"{'n_estimators': 14, 'num_leaves': 5, 'min_child_samples': 5, 'learning_rate': 0.7590459488450938, 'log_max_bin': 8, 'colsample_bytree': 0.8304072431299575, 'reg_alpha': 0.0019513780315197576, 'reg_lambda': 0.04792552866398477}"
7,lgbm,0.0922364269501328,0.9653025047769526,0.9653061953222639,0.9653699932924351,0.9653061953222639,0.9949498269080497,4.176160434041145e-07,"{'n_estimators': 12, 'num_leaves': 4, 'min_child_samples': 9, 'learning_rate': 0.7260594590615888, 'log_max_bin': 9, 'colsample_bytree': 0.928500228647446, 'reg_alpha': 0.003684068193198664, 'reg_lambda': 0.7532480505730402}"
8,lgbm,0.1270059197137095,0.9498147490182205,0.9498161042670952,0.9498210456098115,0.9498161042670952,0.9881109197298419,3.739659902432671e-07,"{'n_estimators': 4, 'num_leaves': 6, 'min_child_samples': 7, 'learning_rate': 1.0, 'log_max_bin': 8, 'colsample_bytree': 0.8997610526325525, 'reg_alpha': 0.017332423070118022, 'reg_lambda': 0.2474885981934692}"
9,lgbm,0.05467702500731212,0.9819306206360126,0.9819317978932334,0.9819636170424935,0.9819317978932334,0.9984851723584449,7.264679232956447e-07,"{'n_estimators': 53, 'num_leaves': 4, 'min_child_samples': 4, 'learning_rate': 0.4192902549264498, 'log_max_bin': 8, 'colsample_bytree': 0.7610534336273627, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.009280655005879927}"
10,xgboost,0.5863815325975138,0.9329735345762283,0.9331333690412427,0.9363656544483141,0.9331333690412427,0.9687266204512834,9.588164275213132e-08,"{'n_estimators': 4, 'max_leaves': 4, 'min_child_weight': 3.815612027960909, 'learning_rate': 0.03859136192132085, 'subsample': 1.0, 'colsample_bylevel': 0.8148474110627004, 'colsample_bytree': 0.9777234800442423, 'reg_alpha': 0.0009765625, 'reg_lambda': 5.525802807180917}"
11,extra_tree,0.3013611235820659,0.9057344285664665,0.906559542938761,0.9194031445087085,0.906559542938761,0.9370503117895743,2.59393965467941e-07,"{'n_estimators': 4, 'max_features': 0.12803687993289598, 'max_leaves': 4, 'criterion': 'entropy'}"
12,extra_tree,0.22098794005489347,0.9269423462969889,0.927270130333869,0.9337435489052875,0.927270130333869,0.9729317379541949,1.8730735676647447e-07,"{'n_estimators': 4, 'max_features': 0.12409372279250691, 'max_leaves': 13, 'criterion': 'gini'}"
